Date,returns
2010-09-01,0.026960273087551095
2010-09-02,0.008230374501838451
2010-09-03,0.014866565775010825
2010-09-07,-0.010538976660796324
2010-09-08,0.003753112054536212
2010-09-09,0.001826068344655712
2010-09-10,0.00518690081866413
2010-09-13,0.010152128963719254
2010-09-14,-0.0002964269934150847
2010-09-15,0.005051297243831897
2010-09-16,0.002473743278875288
2010-09-17,0.0003690774397405226
2010-09-20,0.015457511819062067
2010-09-21,-0.0003893040041609993
2010-09-22,-0.0027854534362026875
2010-09-23,-0.00748228536878962
2010-09-24,0.017753320222926854
2010-09-27,-0.005495543599702031
2010-09-28,0.005391737195068588
2010-09-29,-0.0032031574750207197
2010-09-30,-0.0038572007075136933
2010-10-01,0.003744773907572859
2010-10-04,-0.00883741067349162
2010-10-05,0.017500425007419898
